API_Gravity,Inlet_BSW,Inlet_Salt_PTB,Temperature_C,Wash_Water_Percent,Emulsion_Thickness_mm
29.36350297,0.996737964,46.49991555,135.5257827,3.793472247,24.97572083
43.76785766,0.898989031,19.22559978,128.3716981,2.568906651,22.15738368
38.29984855,0.52276939,27.33198472,148.579941,2.75815535,22.09536616
34.9664621,1.557440008,43.16403184,118.759138,3.084026769,37.97405371
23.90046601,1.243897985,34.10446723,133.5142566,3.221920006,36.17949404
23.89986301,2.177682382,46.92855193,138.0084006,3.453570855,42.15630864
21.4520903,0.177062993,58.06039506,143.0225796,3.532760174,21.47917356
41.65440364,1.645283026,15.82733439,126.2788412,4.734298073,14.33662294
35.02787529,1.931077308,45.47838582,137.4768763,5.057439145,21.50934224
37.70181444,1.922767766,21.51720778,122.1280589,3.853275249,24.54101358
20.51461236,2.226577521,30.72383637,127.4190437,7.44377852,38.2302672
44.2477463,1.849680983,11.64313629,145.8250852,5.31883834,17.84602178
40.81106602,2.326744148,16.79536911,147.9963044,6.724861568,27.76981576
25.30847777,0.89837584,25.98886445,138.7526939,7.545426995,27.05525143
24.54562418,1.3077026,27.09929026,124.9740756,2.978810687,40.02161818
24.58511275,0.133791192,54.97926082,142.8023116,4.567246902,16.73202111
27.60605607,0.11669821,47.09064546,111.0346833,4.59926241,57.45123411
33.11891079,0.676303889,58.60914841,114.1098364,4.126833503,45.25178449
30.79862547,0.341937273,39.95357552,136.4549495,2.053435199,22.31494874
27.2807285,0.724507283,22.0856866,121.649943,6.895832647,35.46531079
35.29632237,0.524903907,26.3827515,148.0554487,2.669355929,24.09286429
23.48734652,0.16844806,25.99179616,127.4424245,7.972883588,32.20320551
27.30361621,2.282329951,26.32471638,127.1745928,6.637750951,34.62163647
29.15904608,0.119735515,43.64820866,137.1231804,5.480060106,18.7787824
31.40174961,1.866597146,36.5403964,140.7027425,2.927638506,36.79311889
39.62939903,0.465154929,29.2712089,129.0223495,5.092357828,17.39052415
24.99184455,2.289351093,17.45448844,118.5600361,3.566652445,51.8576179
32.85586096,2.242710255,11.10695815,140.9323457,3.513935147,28.48979958
34.81036422,1.669362751,20.94173388,122.814051,6.977175496,25.53708757
21.16126032,1.71336196,15.3735702,117.0044308,4.283866544,46.52832111
35.1886213,0.112813941,49.27225154,135.2656076,4.70434282,15.47387919
24.26310309,2.463691759,15.62489789,113.6181467,7.057788427,49.16156747
21.62628982,2.206798249,46.21141187,148.854107,2.526743754,62.55485935
43.72213843,2.248254942,29.28293449,135.2958906,5.567707119,16.51907775
44.14080083,1.682186889,13.66891949,149.4358208,5.469294088,20.04039809
40.2099337,0.927488629,50.63650247,123.5557369,4.551287416,27.54667577
27.61534423,2.244756758,38.98152851,148.8482064,6.978647849,38.27711578
22.44180285,0.799640628,21.78807564,115.8224899,7.657340368,47.67072976
37.10582566,1.450507704,54.73405872,111.6277909,4.792015171,42.9770745
31.00381234,0.339354334,12.26291569,111.3193624,4.736882306,42.63717597
23.05095587,2.312693512,20.09098041,128.5948148,5.012382378,39.04777332
32.37942275,0.437849099,47.60234639,113.3201679,6.338744185,51.54610646
20.85971303,0.639752334,45.46889652,130.4867154,6.008361744,32.83295522
42.73301005,1.43952198,24.46358469,123.1000201,3.337009695,21.9921878
26.46949954,1.933823201,13.10124377,123.4251597,2.383372092,46.09218477
36.56305711,1.586443134,52.90390361,135.4243599,7.695524779,23.67805684
27.7927769,0.657121391,25.6848819,116.5239202,3.566418558,43.90572765
33.00170053,0.102263302,19.78567075,140.6621348,5.831580108,15.17294796
33.66775698,1.917161393,35.80309112,133.2812368,6.970628016,27.00508552
24.62136139,2.464497582,55.51135996,146.5977852,3.801660503,51.16063689
44.23961569,2.043791489,12.17732889,124.5936262,5.812600482,14.5127926
39.37832058,1.204495884,48.2902044,149.3085997,2.647401447,30.73303533
43.48747354,2.269041427,38.6236614,133.0331059,7.819588666,22.98317745
42.37068376,1.083634415,31.27245583,148.9360782,2.34894965,28.79378567
34.94749947,1.359841802,47.20402221,111.0824262,4.629048043,43.59799741
43.04685588,1.245111442,58.29122122,139.1190529,5.220915452,18.89489939
22.21231255,1.174297294,21.46031056,142.664861,6.742890672,19.36176066
24.89957156,1.960457846,17.18236825,112.1269315,2.726771102,60.88114266
21.13068222,1.364245377,55.64408726,133.1587866,4.644847843,31.24751287
28.13325827,0.860121093,43.44765387,142.0776917,3.798269417,22.075963
29.71693224,0.719579602,31.89930108,132.441549,3.872064294,21.0957282
26.78372579,0.190593561,38.66297851,112.5525436,6.672727496,54.85627408
40.71843773,1.499668389,47.28069526,137.7378896,2.03276567,31.10297609
28.91883317,0.651907397,48.65159494,112.4238766,6.494501848,52.42934297
27.02336274,0.455521413,55.99470904,142.6987558,6.862390581,24.49038674
33.56740208,1.669191913,31.34213944,111.7213673,7.408173463,43.03864303
23.52310562,1.734902219,24.6705455,115.4958952,5.761290819,45.48842434
40.05492452,1.905171741,41.98321334,121.0043036,4.00073197,30.7469154
21.86376609,1.308584551,30.78639496,135.3345917,4.563408395,27.40762452
44.67217342,2.245731052,39.7299227,149.054364,7.818416494,32.6152223
39.30611923,2.347222608,30.99928992,114.7129141,7.287120959,31.97648771
24.96789204,2.037690256,17.64978933,115.7083068,4.781155455,47.43012193
20.13805293,1.625424357,33.47133758,124.7548159,7.658378043,39.4923886
40.38653571,0.828930289,44.5458911,143.4487655,6.937729252,24.89572766
37.6714336,2.459067812,49.96419038,128.6892381,7.40653917,26.40119593
38.2251792,0.757926801,34.66631384,122.864424,6.097863407,28.23623639
39.28175867,0.586376613,18.26189451,132.4481533,7.145924261,22.04340152
21.85111629,1.161169873,30.73438548,120.4209279,7.350596848,38.85820689
28.96164321,0.23641737,49.31469644,126.0463963,2.552099507,30.57809823
22.89672649,2.448386715,30.64296353,123.304206,7.79130186,40.04262398
41.57758565,1.512240535,44.82653968,142.1656409,4.001678593,24.636637
35.58245317,1.43668502,35.36068408,146.9702291,4.639397058,24.02291873
28.27245062,1.673911072,22.06115626,140.3828877,6.751422555,24.66353549
21.58895876,1.292856755,49.8075254,127.563343,5.989377833,29.60888001
27.77455804,0.176952441,14.2106727,130.1733991,7.358359475,25.44463836
28.12958305,1.569547093,36.24451414,115.0029478,4.403442505,45.74910304
38.24015446,1.818817305,20.44455171,139.8745884,4.239728982,14.75564113
35.93893678,1.100197745,13.35328143,133.8590272,2.190133097,25.4706777
42.18031856,1.917509373,35.14669685,146.0975998,4.77635226,20.10343995
31.80537313,0.644803118,34.9781078,118.0244457,6.344424622,36.32690424
22.98985615,0.631063819,45.34504508,140.3890449,3.807072306,25.18924613
37.83111968,0.48740077,47.23753465,137.3868665,4.776359082,17.68292345
39.01962622,0.992787423,46.38957443,120.6338214,3.316386611,30.87445162
34.03192994,2.132828885,30.47793665,136.6951456,6.636726835,22.11177619
39.2741795,2.086988949,41.58448936,146.9749352,2.363069368,40.20388815
32.34488991,1.018778099,38.84726213,146.7374395,6.23229833,23.22781378
33.06832073,1.513884966,31.07808781,138.785063,4.27364007,20.31874509
30.68852546,1.82995916,39.86063471,111.9229245,2.249576416,64.20755733
20.63547817,0.678896259,57.36239384,144.8905735,7.120817524,24.45702619
22.69728567,0.503538606,19.64468718,136.3111443,4.926331179,13.50922269
20.78572964,2.433030384,55.28860479,122.4173701,5.595913818,50.74653116
35.91026028,1.582137552,12.6727757,117.4900145,6.392184149,28.2233608
27.85889953,2.455397732,25.41946065,114.6481545,5.930446598,43.49239187
32.71426728,0.910614369,24.40726243,112.009476,6.385141225,46.89256353
42.68916185,1.78727608,41.31825539,140.1641299,6.573690107,18.18076316
26.23230573,0.634248728,16.56124759,119.43372,5.534909183,33.93460469
30.25957308,0.726880411,54.11738059,110.9701174,4.193826985,55.48066039
38.88877846,1.328565091,51.42757042,125.8908261,3.458852898,30.5919168
25.71995414,0.867083501,42.60329098,129.3042832,7.41741942,29.66775247
21.92449775,0.502291753,32.92069159,116.7692092,7.819549068,49.58040969
27.24378632,0.730913685,56.64780211,111.7619334,4.145976531,56.46581803
24.03053218,0.185796147,51.53732774,117.5650193,2.673864374,49.25201704
43.24244131,1.790616692,34.9657574,137.1641105,3.335223963,20.62346473
40.20300949,1.281079977,45.09366772,113.2897471,6.024004076,41.36585297
35.83509391,0.326183359,38.34649761,132.2014812,3.03760022,17.42415459
41.78651475,0.512065584,39.39711192,115.8564795,6.680733638,37.78988364
40.09180192,0.346082891,26.54880347,117.8275669,7.538181439,39.10501107
24.66425147,1.57022274,33.10423023,125.7231153,7.78190909,37.53239666
42.31397496,0.326104873,13.90607154,114.0330134,2.055953036,41.98538882
